Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS▼
170,Derrick Jones Jr.\jonesde02,SF,23,POR,50,41,24.4,2.7,5.6,.486,0.8,2.6,.328,1.9,3.1,.617,.560,1.0,1.6,.634,1.5,2.5,4.0,0.8,0.7,1.0,0.6,2.3,7.4
171,Maxi Kleber\klebima01,PF,29,DAL,40,34,28.1,2.4,5.6,.429,1.8,4.3,.422,0.6,1.3,.451,.592,0.8,0.9,.914,0.9,4.5,5.4,1.3,0.6,0.8,0.7,2.3,7.4
172,Markieff Morris\morrima02,PF,31,LAL,48,24,20.2,2.8,6.2,.445,1.3,3.5,.355,1.5,2.7,.562,.545,0.6,0.9,.732,0.8,3.8,4.6,1.1,0.3,0.3,0.9,1.9,7.4
173,Aaron Holiday\holidaa01,PG,24,IND,53,6,17.5,2.7,6.7,.395,1.1,2.9,.373,1.6,3.8,.412,.475,0.9,1.1,.783,0.2,1.1,1.2,1.6,0.6,0.2,0.9,1.6,7.3
174,Kenrich Williams\willike04,PF,26,OKC,56,10,20.8,3.0,5.8,.525,0.7,1.6,.429,2.3,4.2,.562,.585,0.5,0.9,.563,1.3,2.9,4.2,2.2,0.7,0.2,1.0,2.1,7.3
175,Cameron Payne\payneca01,PG,26,PHO,44,0,17.3,2.7,5.8,.472,1.0,2.5,.407,1.7,3.3,.521,.559,0.8,0.8,.892,0.2,2.0,2.3,3.8,0.6,0.2,1.0,1.7,7.2
176,Terence Davis\daviste02,SG,23,TOT,45,4,15.3,2.6,6.4,.410,1.3,3.8,.345,1.3,2.6,.504,.512,0.5,0.6,.828,0.3,1.7,2.0,1.1,0.6,0.2,0.9,1.4,7.1
177,PJ Dozier\doziepj01,SG,24,DEN,41,0,20.2,2.7,6.3,.419,0.9,2.6,.343,1.8,3.7,.474,.490,0.9,1.4,.614,0.7,2.9,3.6,1.6,0.6,0.4,0.9,1.7,7.1
178,D.J. Augustin\augusdj01,PG,33,TOT,51,6,19.2,2.2,5.6,.385,1.3,3.5,.374,0.8,2.1,.402,.502,1.4,1.5,.932,0.4,1.3,1.6,3.3,0.5,0.0,1.1,1.0,7.0
179,Pat Connaughton\connapa01,SG,28,MIL,52,3,23.1,2.5,5.7,.446,1.5,3.8,.390,1.0,1.8,.564,.578,0.5,0.7,.735,1.0,3.8,4.8,1.3,0.7,0.3,0.5,1.5,7.0
